Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
Joseph Fox,M,N,1709,1779,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Joseph Galloway,M,N,1731,1803,"West River, Maryland, America",West River,Maryland,America
Joseph Greenleaf,M,N,1720,1809,,,,
Joseph Greenwood,M,N,,,,,,
Joseph Hawley,M,N,1723,1788,"Northampton, Massachusetts, America",Northampton,Massachusetts,America
Joseph Johnson,M,N,1738,1809,"Everton, Merseyside, England",Everton,Merseyside,England
Joseph Leacock,M,Y,1735,1804,,,,
Joseph Massie,M,N,,1784,,,,
Joseph Morris,M,N,1715,1785,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Joseph Priestley,M,N,1733,1804,"Birstall, Yorkshire, England",Birstall,Yorkshire,England
Joseph Reed,M,N,1741,1785,"Trenton, New Jersey, America",Trenton,New Jersey,America
Joseph Sherwood,M,N,1708,1773,,,,
Joseph Smith,M,N,1742,1822,America,,,America
Joseph Warren,M,N,1741,1775,"Roxbury, Massachusetts, America",Roxbury,Massachusetts,America
Joshua Babcock,M,N,1707,1783,"Westerly, Rhode Island, America",Westerly,Rhode Island,America
Joshua Sharpe,M,N,1716,1786,"Yorkshire, England",,Yorkshire,England
Josiah Franklin Davenport,M,Y,1727,,,,,
"Josiah Quincy, Sr.",M,N,1710,1784,"Braintree, Massachusetts, America",Braintree,Massachusetts,America
Josiah Tucker,M,N,1712,1799,"Laugharne, Carmarthenshire, Wales",Laugharne,Carmarthenshire,Wales
Julien-Alexandre Achard de Bonvouloir et Loyauté,M,N,1749,1783,"Passais-la-Conception, Basse-Normandie, France",Passais-la-Conception,Basse-Normandie,France
Katherine French,M,N,,,,,,
Keane Fitzgerald,F,N,,,,,,
Keziah Folger Coffin,F,Y,1723,1798,"Nantucket, Massachusetts, America",Nantucket,Massachusetts,America
King George II,M,N,1683,1760,"Herrenhausen, Hanover, Germany",Herrenhausen,Hanover,Germany
King George III,M,N,1738,1820,"London, Greater London, England",London,Greater London,England
Lachlin MacLeane,M,N,1727,1778,,,,
Lambertus Bicker,M,N,1732,1801,The Netherlands,,,The Netherlands
Lancaster County Committee,G,N,,,America,,,America
Lancelot Cowper,M,N,,,England,,,England
Lawrence Holden,M,N,1710,1778,"Bolton, Lancashire, England",Bolton,Lancashire,England
Le Prince Comte Régnant de Limbourg-Styrum-Holstein,M,N,,,France,,,France
Levi Andrew Levy,M,N,,1790,,,,
Lewis Fevre,M,N,1741,1796,,,,
Lewis Jones,M,N,1748,,"London, Greater London, England",London,Greater London,England
Library Company of Philadelphia,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Lords Commissioners of the Treasury,G,N,,,England,,,England
Lords of the Treasury,G,N,,,England,,,England
Louis-Joseph Plumard de Dangeul,M,N,,,"Le Mans, Pays de la Loire, France",Le Mans,Pays de la Loire,France
Louis-Phélypeaux,M,N,1705,1777,France,,,France
Lucrezia Agujari,F,N,1743,1783,"Parma, Emilia-Romagna, Italy",Parma,Emilia-Romagna,Italy
Ludovico Barbiano,M,N,1728,1803,,,,
Luke Morris,M,N,1707,1793,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Mahlon Kirkbride,M,N,,,,,,
Managers of the Pennsylvania Hospital,G,N,,,"Pennsylvania, America",,Pennsylvania,America
Managers of the Philadelphia Silk Filature,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Margaret Stevenson,F,N,1706,1783,"London, Greater London, England",London,Greater London,England
Margaret Strahan,F,N,,,Scotland,,,Scotland
Marie Catherine Biheron,F,N,1719,1786,France,,,France
Marie-Jean-Antoine-Nicholas Caritat,M,N,1743,1794,"Ribemont, Aisne, France",Ribemont,Aisne,France
Martha Johnson,F,Y,,,,,,
"Martin Howard, Jr.",M,N,,1781,,,,
Mary Bache,F,Y,,,,,,
Mary Fisher,F,Y,1673,1758,"Ecton, Northamptonshire, England",Ecton,Northamptonshire,England
Mary Franklin,F,Y,1696,1766,,,,
Mary Goddard,F,N,1738,1816,America,,,America
Mary Hopkinson,F,N,1718,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Mary Mercer,F,N,,,,,,
Mary Owen,F,N,,,,,,
Mary Parker,F,N,,,England,,,England
